threshold,case_type,corpus_document_count,corpus_sha256,embedding_model,corpus_builder,generated_from_commit,reference_threshold,reference_threshold_source,reference_threshold_mode,experiment_scope_sha256,variant_count,above_threshold_count,above_threshold_rate_pct,expected_hit_count,expected_hit_retained_rate_pct
0.5,ambiguous_comparison,307,3e42fa1cc2457385a4cebba21bd2bbc1b92f9397cd4b6749161da70ad715a278,bge-m3,eval/retail_retrieval_corpus.py::load_retail_retrieval_documents,aa47fa938b7fe48ae090950f35de57c4527988c4,0.5802,retail_ops/outputs/retrieval_threshold_summary.md,summary_source,2cafa72199b3c71b147258b9c71887c2ac59c12977051ea2da4e48d2fbe1060b,16,16,100.0,13,81.25
0.5,entity_period_mismatch,307,3e42fa1cc2457385a4cebba21bd2bbc1b92f9397cd4b6749161da70ad715a278,bge-m3,eval/retail_retrieval_corpus.py::load_retail_retrieval_documents,aa47fa938b7fe48ae090950f35de57c4527988c4,0.5802,retail_ops/outputs/retrieval_threshold_summary.md,summary_source,2cafa72199b3c71b147258b9c71887c2ac59c12977051ea2da4e48d2fbe1060b,17,17,100.0,3,17.65
0.5,hard_negative_boundary,307,3e42fa1cc2457385a4cebba21bd2bbc1b92f9397cd4b6749161da70ad715a278,bge-m3,eval/retail_retrieval_corpus.py::load_retail_retrieval_documents,aa47fa938b7fe48ae090950f35de57c4527988c4,0.5802,retail_ops/outputs/retrieval_threshold_summary.md,summary_source,2cafa72199b3c71b147258b9c71887c2ac59c12977051ea2da4e48d2fbe1060b,34,34,100.0,20,58.82
0.5,negative_unsupported,307,3e42fa1cc2457385a4cebba21bd2bbc1b92f9397cd4b6749161da70ad715a278,bge-m3,eval/retail_retrieval_corpus.py::load_retail_retrieval_documents,aa47fa938b7fe48ae090950f35de57c4527988c4,0.5802,retail_ops/outputs/retrieval_threshold_summary.md,summary_source,2cafa72199b3c71b147258b9c71887c2ac59c12977051ea2da4e48d2fbe1060b,30,14,46.67,0,0.0
0.5,positive_supported,307,3e42fa1cc2457385a4cebba21bd2bbc1b92f9397cd4b6749161da70ad715a278,bge-m3,eval/retail_retrieval_corpus.py::load_retail_retrieval_documents,aa47fa938b7fe48ae090950f35de57c4527988c4,0.5802,retail_ops/outputs/retrieval_threshold_summary.md,summary_source,2cafa72199b3c71b147258b9c71887c2ac59c12977051ea2da4e48d2fbe1060b,34,34,100.0,30,88.24
0.55,ambiguous_comparison,307,3e42fa1cc2457385a4cebba21bd2bbc1b92f9397cd4b6749161da70ad715a278,bge-m3,eval/retail_retrieval_corpus.py::load_retail_retrieval_documents,aa47fa938b7fe48ae090950f35de57c4527988c4,0.5802,retail_ops/outputs/retrieval_threshold_summary.md,summary_source,2cafa72199b3c71b147258b9c71887c2ac59c12977051ea2da4e48d2fbe1060b,16,9,56.25,8,50.0
0.55,entity_period_mismatch,307,3e42fa1cc2457385a4cebba21bd2bbc1b92f9397cd4b6749161da70ad715a278,bge-m3,eval/retail_retrieval_corpus.py::load_retail_retrieval_documents,aa47fa938b7fe48ae090950f35de57c4527988c4,0.5802,retail_ops/outputs/retrieval_threshold_summary.md,summary_source,2cafa72199b3c71b147258b9c71887c2ac59c12977051ea2da4e48d2fbe1060b,17,16,94.12,3,17.65
0.55,hard_negative_boundary,307,3e42fa1cc2457385a4cebba21bd2bbc1b92f9397cd4b6749161da70ad715a278,bge-m3,eval/retail_retrieval_corpus.py::load_retail_retrieval_documents,aa47fa938b7fe48ae090950f35de57c4527988c4,0.5802,retail_ops/outputs/retrieval_threshold_summary.md,summary_source,2cafa72199b3c71b147258b9c71887c2ac59c12977051ea2da4e48d2fbe1060b,34,27,79.41,19,55.88
0.55,negative_unsupported,307,3e42fa1cc2457385a4cebba21bd2bbc1b92f9397cd4b6749161da70ad715a278,bge-m3,eval/retail_retrieval_corpus.py::load_retail_retrieval_documents,aa47fa938b7fe48ae090950f35de57c4527988c4,0.5802,retail_ops/outputs/retrieval_threshold_summary.md,summary_source,2cafa72199b3c71b147258b9c71887c2ac59c12977051ea2da4e48d2fbe1060b,30,6,20.0,0,0.0
0.55,positive_supported,307,3e42fa1cc2457385a4cebba21bd2bbc1b92f9397cd4b6749161da70ad715a278,bge-m3,eval/retail_retrieval_corpus.py::load_retail_retrieval_documents,aa47fa938b7fe48ae090950f35de57c4527988c4,0.5802,retail_ops/outputs/retrieval_threshold_summary.md,summary_source,2cafa72199b3c71b147258b9c71887c2ac59c12977051ea2da4e48d2fbe1060b,34,34,100.0,30,88.24
